frame,definition,example
f:Adjusting,"An <em>Agent</em> changes a <em>Part</em> of a complex entity with regard to some <em>Feature</em> in order to achieve some <em>Imposed purpose</em> affected by the <em>Feature</em>.  The complex entity is often a device or mechanism, but may also be an abstract entity such as the economy.  Also, the full entity may be used in place of the <em>Part</em>.","<p class='list-group-item'>Greenspan expressed confidence that the  current  <span id='phrase_example'>calibration</span>  of interest rates  was not an overcompensation .</p><p class='list-group-item'>It didn't work the first time , so  she  had to <span id='phrase_example'>tweak</span>  the oven   a little  .</p><p class='list-group-item'> I  need to <span id='phrase_example'>adjust</span>  the thermostat   to around 80 degrees   when she visits .</p>"
f:Cause_change,"An <em>Agent</em> or <em>Cause</em> causes an <em>Entity</em> to change, either in its category membership or in terms of the value of an <em>Attribute</em>. In the former case, an <em>Initial category</em> and a <em>Final category</em> may be expressed, in the latter case an <em>Initial value</em> and a <em>Final value</em> can be specified.","<p class='list-group-item'>Hence, when  (Hg 0 )  is <span id='phrase_example'>converted</span> to Hg 2+ , it can be rapidly taken up in rain water, snow, or adsorbed onto small particles</p><p class='list-group-item'>Hence, when  (Hg 0 )  is <span id='phrase_example'>converted</span>  to Hg 2+  , it can be rapidly taken up in rain water, snow, or adsorbed onto small particles</p><p class='list-group-item'> She  had  at some time earlier   completely  <span id='phrase_example'>changed</span>  her clothing and appearance  and now stood in front of me dressed like a garden gnome.</p><p class='list-group-item'> At this juncture ,  a new development <span id='phrase_example'>changed</span> the political situation on the island .</p><p class='list-group-item'>How can  a guy that  <span id='phrase_example'>changed</span>  his name   from Bob Craft   to Jack Ass  declare anyone defamed his character?</p><p class='list-group-item'>I don't think  you  can <span id='phrase_example'>turn</span>  that rabbit   into a hat .</p><p class='list-group-item'>Our storylines follows the saga outlined by the Ultima Series, but  we  have <span id='phrase_example'>modified</span>  it   in order to make our writing more cohesive .</p>"
f:State_of_entity,"An <em>Entity</em> is in a specified <em>State</em>. When not explicitly specified, the <em>State</em> usually concerns the <em>Entity</em>'s health, repair of functioning. The <em>State</em> is also often assessed with an <em>Evaluation</em> and it may be specified to apply only to a particular  <em>Parameter</em> of the <em>Entity</em>.","<p class='list-group-item'>Evil is the outer result of a  mental  <span id='phrase_example'>condition</span>  of fear, ignorance, doubt, unbelief .</p><p class='list-group-item'>They had regressed beyond any help and could never be cured of  their   bestial  <span id='phrase_example'>STATE</span>  of utter dependency on poor relief .</p><p class='list-group-item'>They soon reduced  the Indians  to a <span id='phrase_example'>CONDITION</span>  of abject slavery  .</p><p class='list-group-item'>She was taken home , where  her   <span id='phrase_example'>condition</span>  worsened.</p><p class='list-group-item'> Some of the classics werein excellent  <span id='phrase_example'>condition</span> .</p>"
f:Appellations,"Words that are used as the <em>Title</em>s of individuals. The <em>Title</em> is applied to a <em>Name</em> (surname or full name) and often designates their rank within a man-made institution. Pairings of Title and Name can be used as vocatives (see Attention getting), while the Titles may not always be vocative on their own.",<p class='list-group-item'>He saluted  <span id='phrase_example'>General</span>   Fightmaster  walking into the room.</p>
f:Destiny,"An <em>State of affairs</em> will come to hold with respect to a <em>Protagonist</em> at some future time. The <em>Protagonist</em> is not conceived of as having control over whether the <em>State of affairs</em> will hold: obscurely related previous actions or circumstances, or some hidden power may have already determined that it will occur.","<p class='list-group-item'>This seemingly <span id='phrase_example'>predestined</span>  meeting between a creator and the model he has pursued all his life  suggests a kind of miracle . </p><p class='list-group-item'>Nine for  mortal men  , <span id='phrase_example'>doomed</span>  to die  .</p><p class='list-group-item'>At the time it did not appear that  greatness  was in  her  <span id='phrase_example'>stars</span>.</p><p class='list-group-item'> The sun's  ultimate <span id='phrase_example'>fate</span> is  as a white dwarf, a dense, cold core the size of the earth .</p><p class='list-group-item'>One could say that it was  Indonesia's  <span id='phrase_example'>destiny</span>  to initiate the decolonization process .</p><p class='list-group-item'> Exile was his <span id='phrase_example'>fate</span> and he triumphantly turned it into the fruit of his life.</p>"
f:Reasoning,"An <em>Arguer</em> presents a <em>Content</em>, along with <em>Support</em>, to an <em>Addressee</em>.  The <em>Content</em> may refer elliptically to a course of action or it may refer to a proposition that the <em>Addressee</em> is to believe.  Some lexical units (e.g. �prove�) indicate the speaker's belief about the <em>Content</em>.",<p class='list-group-item'>Jan <span id='phrase_example'>proved</span>   that the evidence was inadmissable .</p><p class='list-group-item'>Jan <span id='phrase_example'>argued</span>  against the admissability of the evidence .</p><p class='list-group-item'>Jan <span id='phrase_example'>argued</span>  that the evidence was inadmissable .</p>
f:Proliferating_in_number,"The number of entities that make up the <em>Set</em> changes from an <em>Initial number</em> to a <em>Final number</em>. Alternatively, the situation can be described in terms of an <em>Initial state</em> and a <em>Final state</em>. In some cases the <em>Attribute</em> (i.e., number) or <em>Difference</em> in number may be mentioned.",<p class='list-group-item'>Problems in the banking industry <span id='phrase_example'>proliferated</span> dramatically  in the 1980s .</p><p class='list-group-item'> The number of rural poor  has <span id='phrase_example'>dwindled</span>  from some 250 million   to 26 million .</p><p class='list-group-item'> How has the <span id='phrase_example'>proliferation</span>  of cellular telephones  affected your amateur mobile operation?</p>
f:Taking_time,"An <em>Activity</em> takes some <em>Time length</em> to complete.  If an <em>Agent</em> is involved they may stand in metonymically for the <em>Activity</em>. For some LUs (e.g., fast, speedy) the <em>Degree</em> to which the <em>Activity</em> is conceived of as taking less time than usual can be expressed.","<p class='list-group-item'>Under high-pressure situations,  police officers  are  very  <span id='phrase_example'>fast</span>  at reacting to danger .</p><p class='list-group-item'> The ride was<span id='phrase_example'>speedy</span> and often bumpy.</p><p class='list-group-item'> How long  will  this  <span id='phrase_example'>take</span>?</p>"
f:Locative_relation,"A <em>Figure</em> is located relative to a <em>Ground</em> location.  The location of the <em>Figure</em> may be further specified by its <em>Distance</em> from a reference location (generally, the deictic center) and the <em>Direction</em> in which the <em>Figure</em> lies from a reference location (generally, the deictic center).","<p class='list-group-item'>The kitchen, with its breakfast / snack bar, <span id='phrase_example'>adjoins</span> on one side while the dining area adjoins on the other side.   </p><p class='list-group-item'> The cat is<span id='phrase_example'>on</span> the mat .</p>"
f:Remainder,"A <em>Resource</em> is depleted by some process, resulting in there being only a <em>Remainder</em> in existence some time into or after the process. The original <em>Resource</em> may be indicated metonymically via reference to an <em>Original owner</em>. The <em>Location</em> where the <em>Resource</em> is found may be expressed.","<p class='list-group-item'>Only this school  is <span id='phrase_example'>left</span>  from the 1970 s; all the other ones are newer.</p><p class='list-group-item'>   Nothing   <span id='phrase_example'>remained</span>   for the youngest brother    from the inheritance </p><p class='list-group-item'> Not much  was <span id='phrase_example'>left</span>  in the till </p><p class='list-group-item'>After the storm,  only two houses  were <span id='phrase_example'>left</span> </p><p class='list-group-item'>There are only  two poems  <span id='phrase_example'>left</span>  from Quayle</p>"
